Data_Time,Lot_ID,Item_ID,Value,Target,USL,UCL,LCL,LSL,Stage_ID,Layer_ID,Prod_ID,Eqp_S,Eqp_S_Unit1,Eqp_S_Unit2,S_Recipe,S_SubRecipe,Eqp_C,Material_ID,Eqp_M,M_Recipe,Chart_Type,index
2020-11-17 00:23:02,A21YY470,A21YY470.12,0.016531258587129182,0.0,0.03,0.025,-0.025,-0.03,stageE11,L11-3,ProdC,ZSE003,s#U1-01,s#U2-04,SRCP-L11-J,SRCPSUB-L11-001,YCOB,VW,WCD20,MRCP-L11-.004,MEAN,0
2020-11-17 05:24:28,A21WW323,A21WW323.24,0.01420577732672768,0.0,0.03,0.025,-0.025,-0.03,stageE11,L11-3,ProdB,YSE001,s#U1-01,s#U2-01,SRCP-L11-H,SRCPSUB-L11-001,YCOB,VW,XCD33,MRCP-L11-.005,MEAN,1
2020-11-17 06:53:41,A21WW407,A21WW407.12,0.012628352372094838,0.0,0.03,0.025,-0.025,-0.03,stageE11,L11-1,ProdB,XSE001,s#U1-03,s#U2-01,SRCP-L11-I,SRCPSUB-L11-001,YCOB,VW,WCD33,MRCP-L11-.005,MEAN,2
2020-11-17 07:30:30,A21XX663,A21XX663.08,-0.009322912815374364,0.0,0.03,0.025,-0.025,-0.03,stageE11,L11-2,ProdD,XSE001,s#U1-03,s#U2-02,SRCP-L11-I,SRCPSUB-L11-001,YCOB,VW,XCD20,MRCP-L11-.005,MEAN,3
2020-11-17 07:39:28,A21ZZ692,A21ZZ692.23,-0.005706763973499502,0.0,0.03,0.025,-0.025,-0.03,stageE11,L11-2,ProdC,ZSE005,s#U1-02,s#U2-04,SRCP-L11-J,SRCPSUB-L11-001,YCOC,VW,XCD33,MRCP-L11-.005,MEAN,4
2020-11-17 11:52:32,A21YY715,A21YY715.20,-0.009107096847736664,0.0,0.03,0.025,-0.025,-0.03,stageE11,L11-2,ProdD,XSE005,s#U1-01,s#U2-04,SRCP-L11-H,SRCPSUB-L11-001,ZCOC,VW,XCD20,MRCP-L11-.005,MEAN,5
2020-11-17 13:09:08,A21WW236,A21WW236.22,0.006262021886681151,0.0,0.03,0.025,-0.025,-0.03,stageE11,L11-2,ProdB,XSE005,s#U1-02,s#U2-04,SRCP-L11-I,SRCPSUB-L11-001,ZCOB,VW,WCD33,MRCP-L11-.005,MEAN,6
2020-11-18 00:51:30,A21YY495,A21YY495.12,0.004646895668050427,0.0,0.03,0.025,-0.025,-0.03,stageE11,L11-1,ProdB,YSE001,s#U1-04,s#U2-04,SRCP-L11-J,SRCPSUB-L11-001,ZCOB,VW,WCD33,MRCP-L11-.004,MEAN,7
2020-11-18 03:02:52,A21WW727,A21WW727.14,-0.007325660702718515,0.0,0.03,0.025,-0.025,-0.03,stageE11,L11-3,ProdD,XSE005,s#U1-01,s#U2-03,SRCP-L11-I,SRCPSUB-L11-001,YCOC,VW,XCD20,MRCP-L11-.005,MEAN,8
2020-11-18 07:23:03,A21WW613,A21WW613.06,0.021077473405976713,0.0,0.03,0.025,-0.025,-0.03,stageE11,L11-3,ProdD,XSE003,s#U1-04,s#U2-02,SRCP-L11-H,SRCPSUB-L11-001,YCOC,VW,XCD20,MRCP-L11-.005,MEAN,9
